2451;LA ENAMORADA DE UN AMIGO;ROBERTO CARLOS;BALADA
2454;LA MONTA�A;ROBERTO CARLOS;BALADA
2463;MUJER PEQUE�A;ROBERTO CARLOS;BALADA
3250;VOY A 120 KILOMETROS POR HORA;ROBERTO CARLOS;BALADA
3287;NO TE APARTES DE MI;ROBERTO CARLOS;BALADA
3305;AMANTES A LA ANTIGUA;ROBERTO CARLOS;BALADA
3410;CONFESION;ROBERTO CARLOS;BALADA
3645;TODO PARA CUANDO HACEMOS EL AMOR;ROBERTO CARLOS;BALADA
3927;MI CACHARRITO;ROBERTO CARLOS;BALADA
4176;POR ELLA;ROBERTO CARLOS;BALADA
4604;AMOR PERFECTO;ROBERTO CARLOS;BALADA
4692;TELEPATIA;ROBERTO CARLOS;BALADA
4693;TU EN MI VIDA;ROBERTO CARLOS;BALADA
5971;ESE TIPO SOY YO;ROBERTO CARLOS;BALADA
6910;SOLOS;ROBERTO LUTI;BALADA
6243;ESCONDEME;ROBERTO ORELLANA;BALADA
6344;MI NUEVO AMOR;ROBERTO ORELLANA;BALADA
7177;ESCONDEME;ROBERTO ORELLANA;BALADA  GOSPEL
7190;MI NUEVO AMOR;ROBERTO ORELLANA;BALADA  GOSPEL
5006;COMO TE HAGO ENTENDER;ROBERTO ROENA;SALSA
5342;TU LOCO LOCO Y YO TRANQUILO;ROBERTO ROENA;SALSA
1982;TRES MOTIVOS;ROBERTO ZUMBA;ROCKOLERA
3738;PREGUNTALE;ROBERTO ZUMBA;PASILLO
4516;EN EL CIELO;ROBERTO ZUMBA;PASILLO
4539;QUISIERA VOLVER A VERTE;ROBERTO ZUMBA;PASILLO
4580;OLVIDAME;ROBERTO ZUMBA;PASILLO
4623;MALDITO ALCOHOL;ROBERTO ZUMBA;ROCKOLERA
6637;DREAMWORLD;ROBIN THICKE;BALADA INGLES
5260;BLURRED LINES;ROBIN THICKE & PHARRELL;POP
3708;CUANDO TE CONOCI;ROBINSON RAMIREZ;BACHATA
46;COSTUMBRES;ROCIO DURCAL;BALADA
69;ME GUSTAS MUCHO;ROCIO DURCAL;RANCHERA
577;FRENTE A FRENTE;ROCIO DURCAL;BALADA
578;QUEDATE CONMIGO ESTA NOCHE;ROCIO DURCAL;BALADA
1022;COMO TU MUJER;ROCIO DURCAL;BALADA
1463;LA GATA BAJO LA LLUVIA;ROCIO DURCAL;BALADA
1464;ME NACE DEL CORAZON;ROCIO DURCAL;RANCHERA
1541;HAY AMORES;ROCIO DURCAL;BOLERO
1542;INOCENTE POBRE AMIGA;ROCIO DURCAL;BALADA
1694;DIFERENTES;ROCIO DURCAL;RANCHERA
1831;ME REFUGIE EN TU JUVENTUD;ROCIO DURCAL;BALADA
1845;POR QUE TE QUIERO;ROCIO DURCAL;BALADA
2285;TARDE;ROCIO DURCAL;BALADA
2467;NO LASTIMES MAS;ROCIO DURCAL;BALADA
2475;PERDONAME OLVIDALO;ROCIO DURCAL;BALADA
2628;LA GUIRNALDA;ROCIO DURCAL;BALADA
2640;NADIE ES COMO TU;ROCIO DURCAL;RANCHERA
2749;VESTIDA DE BLANCO;ROCIO DURCAL;RANCHERA
2835;QUE EL MUNDO RUEDE;ROCIO DURCAL;RANCHERA
3300;YA TE OLVIDE;ROCIO DURCAL;BALADA
3369;FUE UN PLACER CONOCERTE;ROCIO DURCAL;BALADA
3372;JAMAS ME CANSARE DE TI;ROCIO DURCAL;RANCHERA
3421;JAMAS TE DEJARE;ROCIO DURCAL;BALADA
4872;ESTAS TAN DENTRO DE MI;ROCIO DURCAL;RANCHERA
4876;GRACIAS AMOR POR TANTO AMOR;ROCIO DURCAL;RANCHERA
5508;COMO HAN PASADO LOS A�OS;ROCIO DURCAL;BALADA
5549;TENIAS QUE SER TAN CRUEL;ROCIO DURCAL;BALADA
6136;ASI SON LOS HOMBRES;ROCIO DURCAL;RANCHERA
6182;CUANDO YO QUIERA HAS DE VOLVER;ROCIO DURCAL;RANCHERA
6465;TU QUE FUISTE;ROCIO DURCAL;BALADA
452;SE�ORA;ROCIO JURADO;BALADA
1802;COMO UNA OLA;ROCIO JURADO;BALADA
1805;ESE HOMBRE;ROCIO JURADO;BALADA
1832;MI AMANTE AMIGO;ROCIO JURADO;BALADA
1863;PALOMA BRAVA;ROCIO JURADO;BALADA
1867;SE NOS ROMPIO EL AMOR;ROCIO JURADO;BALADA
2633;MADRE;ROCIO JURADO;BALADA
2635;ME HUBIERA GUSTADO TANTO;ROCIO JURADO;BALADA
6502;A LOS BOSQUES ME INTERNO YO;ROCK STAR;NACIONAL
6509;ABREME TU CORAZON;ROCK STAR;NACIONAL
6593;COLLAR DE LAGRIMAS;ROCK STAR;NACIONAL
6651;EL CASORIO EL CURIQUINGUE;ROCK STAR;NACIONAL
6670;EN MI ESCRITORIO;ROCK STAR;NACIONAL
6689;FLOR MARIA;ROCK STAR;NACIONAL
6749;LLEVAME CONTIGO;ROCK STAR;NACIONAL
6839;OLVIDATE DE MI;ROCK STAR;NACIONAL
6872;RECUERDOS DE UN QUERER;ROCK STAR;NACIONAL
6875;ROCIO;ROCK STAR;NACIONAL
6876;ROSAS Y ESPINAS;ROCK STAR;NACIONAL
6889;SE�ORA CASADA;ROCK STAR;NACIONAL
6924;SUSANA;ROCK STAR;NACIONAL
6953;TU AUSENCIA;ROCK STAR;NACIONAL
6962;TU RETRATO , MI CHOLITA;ROCK STAR;NACIONAL
7238;RECUERDOS DE UN QUERER;ROCK STAR;NACIONAL
7239;ROCIO;ROCK STAR;NACIONAL
7248;OLVIDATE DE MI;ROCK STAR;NACIONAL
7249;LLEVAME CONTIGO;ROCK STAR;NACIONAL
7250;TU RETRATO , MI CHOLITA;ROCK STAR;NACIONAL
3710;DA YA THINK I'M SEXY;ROD STEWART;POP
212;EL ECO DE TU ADIOS;RODOLFO;BALADA
299;QUIERO AMARTE;RODOLFO;BALADA
318;VAGABUNDO SOY;RODOLFO;ROCKOLERA
571;ADONAY;RODOLFO;CUMBIA
572;OJITOS HECHICEROS;RODOLFO;CUMBIA
597;BOQUITA DE CARAMELO;RODOLFO;CUMBIA
598;TU ME MANDASTE A DECIR;RODOLFO;CUMBIA
829;NO ME DEJES ASI;RODOLFO;BALADA
831;YO TE HICE MUJER;RODOLFO;BALADA
836;POR QUE TE QUIERO TANTO;RODOLFO;BALADA
840;HOY DARIA YO LA VIDA;RODOLFO;BALADA
846;ME SUPLICAS QUE DEJE DE AMARTE;RODOLFO;BALADA
895;VOLVER;RODOLFO;BALADA
2186;TABACO Y RON;RODOLFO;CUMBIA
2217;DANIELA;RODOLFO;CUMBIA
2289;TODOS LOS DOMINGOS;RODOLFO;CUMBIA
2486;SOLO CENIZAS QUEDARON;RODOLFO;ROCKOLERA
2906;ASI EMPEZARON PAPA Y MAMA;RODOLFO;CUMBIA
3018;FELIZ NOCHE BUENA;RODOLFO;CUMBIA
3429;NAILA;RODOLFO;BALADA
4521;LIMONCITO CON RON;RODOLFO AICARDI;CUMBIA
6582;CANTARES DE NAVIDAD;RODOLFO AICARDI;CUMBIA
6850;PENAS POR UN AMOR;RODOLFO AICARDI;CUMBIA
6969;VAGABUNDO SOY;RODOLFO AICARDI;CUMBIA
7237;PENAS POR UN AMOR;RODOLFO AICARDI;CUMBIA
3255;COMO LE DIGO A MI MUJER;RODRIGO;CUMBIA
3269;FUE LO MEJOR DEL AMOR;RODRIGO;CUMBIA
4583;QUE IRONIA;RODRIGO;CUMBIA
5577;LA MANO DE DIOS;RODRIGO;MUNDIAL
7083;FUEGO DE DIOS;ROJO;BALADA
7130;TU AMOR HACE ECO EN TODO MI UNIVERSO;ROJO;BALADA
7180;JARDIN DE ROSAS;ROJO;BALADA  GOSPEL
7191;NO ME SOLTARAS;ROJO;BALADA  GOSPEL
7194;SOLO TU;ROJO;BALADA  GOSPEL
4320;HOLA SOLEDAD;ROLANDO LA SERIE;BOLERO
6;ANGIE;ROLLING STONES;BALADA INGLES
6755;LOCURAS CONTIGO;ROMBAI;CUMBIA
4699;YOU;ROMEO SANTOS;BACHATA
4931;MI SANTA;ROMEO SANTOS;BACHATA
5189;LLEVAME CONTIGO;ROMEO SANTOS;BACHATA
5317;PROPUESTA INDECENTE;ROMEO SANTOS;BACHATA
5859;CANCIONCITAS DE AMOR;ROMEO SANTOS;BACHATA
5877;ERES MIA;ROMEO SANTOS;BACHATA
6073;HILITO;ROMEO SANTOS;BACHATA
6373;ODIO;ROMEO SANTOS;BACHATA
6621;DEBATE DE 4;ROMEO SANTOS;BACHATA
7293;NECIO;ROMEO SANTOS;BACHATA
7294;ANIMALES;ROMEO SANTOS;BACHATA
7314;LA DIABLA;ROMEO SANTOS;BALADA
7317;DEBATE DE 4;ROMEO SANTOS;BACHATA
7360;IMITADORA;ROMEO SANTOS;BACHATA
6100;YO TAMBIEN;ROMEO SANTOS & MARC ANTHONY;SALSA
5088;RIVAL;ROMEO SANTOS & MARIO DOMM;BALADA
5316;PROMISE;ROMEO SANTOS & USHER;BACHATA
7389;BELLA Y SENZUAL;ROMEO SANTOS DADDY YANKE NICKY JAM;REGUETON
4589;TATUAJE EN EL ALMA;ROMUALDO BRITO;VALLENATO
3182;NO TE PUEDO PERDONAR;RONALD NU�EZ;BACHATA
3365;EL TALISMAN;ROSANA;POP
6929;TE DEBO ESTE SUE�O;ROSANA;BALADA
7283;TE DEBO ESTE SUE�O;ROSANA;BALADA
4915;CUENTAME QUE TE PASO;ROSARIO;SALSA
2857;COMO QUIERES QUE TE QUIERA;ROSARIO FLORES;BALADA
4882;NO DUDARIA;ROSARIO FLORES;BALADA
4889;SABOR SABOR;ROSARIO FLORES;BALADA
6093;QUE BONITO;ROSARIO FLORES;BALADA
631;ZAMBICE�A;ROSITA CAJAMARCA;SAN JUANITO
1014;TU AUSENCIA;ROSITA CAJAMARCA;SAN JUANITO
1099;EL CAMOTE;ROSITA CAJAMARCA;SAN JUANITO
514;SI TU NO ESTAS AQUI;ROSSANA;BALADA
667;HOY;ROSSANA;RUMBA
1836;A FUEGO LENTO;ROSSANA;BALADA
2737;PA TI NO ESTOY;ROSSANA;BALADA
507;AMOR PROHIBIDO;ROSSY WAR;CUMBIA
1964;QUE TE PERDONE DIOS;ROSSY WAR;TECNOCUMBIA
399;IT MUST HAVE BEEN LOVE;ROXETTE;BALADA INGLES
430;SPENDING MY TIME;ROXETTE;BALADA INGLES
3852;ALGUIEN;ROXETTE;BALADA
2989;PRETTY WOMAN;ROY ORBISON;BALADA INGLES
4600;YOU GOT IT;ROY ORBISON;BALADA INGLES
6612;CUANDO ESTES CON EL;RUBBY PEREZ;MERENGUE
7274;CUANDO ESTES CON EL;RUBBY PEREZ;MERENGUE
138;PEDRO NAVAJA;RUBEN BLADES;SALSA
1146;DECISIONES;RUBEN BLADES;SALSA
2274;PLASTICO;RUBEN BLADES;SALSA
3308;AMOR Y CONTROL;RUBEN BLADES;SALSA
2878;MI VIDA ERES TU;RUDY LA ESCALA;BALADA
2887;PORQUE TU ERES LA REINA;RUDY LA SCALA;BALADA
3256;COMO PASAN LOS A�OS;RUDY LA SCALA;BALADA
3555;CREE;RUDY LA SCALA;BALADA
3565;ES QUE ERES TU;RUDY LA SCALA;BALADA
3643;TE AMO TE AMO;RUDY LA SCALA;BOLERO
6485;VOLVAMOS A VIVIR;RUDY LA SCALA;BALADA
600;EL CARI�O ES COMO UNA FLOR;RUDY LASCALA;BALADA
930;CUANDO YO AMO A ALGUIEN;RUDY LASCALA;BALADA
1056;POR QUE SERA;RUDY LASCALA;BALADA
2898;VAMOS A ENAMORARNOS;RUDY LASCALA;BALADA
2994;TU ANA MARIA;RUDY MARQUEZ;BALADA
6911;SOMBRAS;RUDY MARQUEZ;BALADA
5973;HALLELUJAH;RUFUS WAINWRIGHT;BALADA INGLES
332;COMO DESEO SER TU AMOR;SABU;BALADA
774;VUELVO A VIVIR VUELVO A CANTAR;SABU;BALADA
1960;PEQUE�A Y FRAGIL;SABU;BALADA
2683;QUIZAS SI QUIZAS NO;SABU;BALADA
4209;EL O YO;SABU;BALADA
4270;ES EL AMOR DE VERDAD;SABU;BALADA
85;PERDONAME;SAHIRO;BALADA
96;VEN JUNTO A MI LADO;SAHIRO;BALADA
114;TE ACUERDAS DE MI;SAHIRO;BALADA
169;SIEMPRE TE VOY A QUERER;SAHIRO;BALADA
748;CADA MOMENTO;SAHIRO;BALADA
858;MI DESTINO ES COMO EL VIENTO;SAHIRO;BALADA
1122;ERES LA LUZ;SAHIRO;CUMBIA
1123;MI COMPA�ERA;SAHIRO;BALADA
1124;MI LOCO AMOR;SAHIRO;BALADA
1125;RECUERDOS DE UN AMOR;SAHIRO;BALADA
1126;TE NECESITO;SAHIRO;BALADA
1127;UN SUE�O;SAHIRO;BALADA
1128;A TI MUJER;SAHIRO;BALADA
1138;POR QUE TUVE QUE PERDERTE;SAHIRO;BALADA
3122;MARIA MARIA;SAHIRO;BALADA
3878;LA DIVORCIADA;SAHIRO;BALADA
4992;LOCA PEOPLE;SAK NOEL;POP
6565;BAJO LA TORMENTA;SALSA GIANTS;SALSA
3558;DEJAME UN BESO;SALSA KIDS;SALSA
6359;NO INTENTES AMARRARME;SALVADOR BELTRAN;BALADA
90;MIS MANOS EN TU CINTURA;SALVATORE ADAMO;BALADA
445;LA NOCHE;SALVATORE ADAMO;BALADA
639;UN MECHON DE SU CABELLO;SALVATORE ADAMO;BALADA
765;POR QUE YO QUIERO;SALVATORE ADAMO;BALADA
927;QUIERO;SALVATORE ADAMO;BALADA
928;ELLA;SALVATORE ADAMO;BALADA
946;MI GRAN NOCHE;SALVATORE ADAMO;BALADA
3367;ES MI VIDA;SALVATORE ADAMO;BALADA
3377;MUY JUNTOS;SALVATORE ADAMO;BALADA
3380;NUESTRA NOVELA;SALVATORE ADAMO;BALADA
5594;SOLO POR AMOR;SAMO;BALADA
5846;SIN TI;SAMO;BALADA
6180;CUANDO LEVANTO MIS MANOS;SAMUEL HERNANDEZ;BALADA
7017;CUANDO LEVANTO MIS MANOS;SAMUEL HERNANDEZ;BALADA
6304;LLEGASTE A MI;SAMUEL HERNANDEZ & MELODIE JOY;BALADA
7184;LLEGASTE A MI;SAMUEL HERNANDEZ & MELODIE JOY;BALADA  GOSPEL
4152;A QUIEN TU DECIDISTE AMAR;SANDOVAL;BALADA
4170;LOCO EXTRA�O;SANDOVAL;BALADA
4823;LO SABES LO TIENES;SANDOVAL;BALADA
5184;LA NOCHE;SANDOVAL;BALADA
48;A ESTO LE LLAMAS AMOR;SANDRO;BALADA
152;YO TE AMO;SANDRO;BALADA
214;JAMAS;SANDRO;BALADA
409;HARE UN MUNDO PARA TI;SANDRO;BALADA
529;PENUMBRAS;SANDRO;BALADA
629;ROSA ROSA;SANDRO;BALADA
683;EL MANIQUI;SANDRO;BALADA
684;UNA MUCHACHA Y UNA GUITARRA;SANDRO;BALADA
699;TRIGAL;SANDRO;BALADA
716;TE PROPONGO SEPARARNOS;SANDRO;BALADA
727;QUERIDA;SANDRO;BALADA
1139;ABRE TU VENTANA;SANDRO;BALADA
1141;COMO LO HICE YO;SANDRO;BALADA
2306;ASI;SANDRO;BALADA
2741;TE PROPONGO;SANDRO;BALADA
2941;POR ALGUN CAMINO;SANDRO;BALADA
3223;LA VIDA SIGUE IGUAL;SANDRO;BALADA
3291;PENAS;SANDRO;BALADA
3618;EL AMANTE;SANDRO;BALADA
3659;COMO TE DIRE;SANDRO;BALADA
3910;DOS SOLITARIOS;SANDRO;BALADA
4534;PARIS ANTE TI;SANDRO;BALADA
4778;LAS MANOS;SANDRO;BALADA
4784;PAGINAS SOCIALES;SANDRO;BALADA
4940;SIN SENTIDO;SANDRO;BALADA
5273;DAME FUEGO;SANDRO;BALADA
5542;SE TE NOTA;SANDRO;BALADA
450;JARDIN PROHIBIDO;SANDRO GIACOBE;BALADA
505;CARI�O LOCO;SANDY;CUMBIA
2524;EL AMOR NO FALLARA;SANDY & JUNIOR;POP
5670;ES HORA DE BAILAR;SANDY & PAPO;POP
7299;CUIDALA BIEN;SANTA RM;BALADA
7312;ME GUSTAS MUCHO;SANTA RM;BALADA
5148;Y SI TE QUEDAS QUE;SANTIAGO CRUZ;BALADA
6629;DESDE LEJOS;SANTIAGO CRUZ;BALADA
6733;LA MEMORIA DE MIS SENTIMIENTOS;SANTIAGO CRUZ;BALADA
3646;VEN QUE QUIERO VERTE FELIZ;SANTIAGO DANTE;BALADA
5224;SI AMANECIERA;SARATOGA;ROCK
5836;PARTE DE MI;SARATOGA;ROCK
3692;RUEDA MI MENTE;SASHA;BALADA
4361;DULCE VENENO;SASHA;POP
4678;LUNA DE PARIS;SASHA;POP
5365;CADA BESO;SASHA;POP
6405;QUIEN TE DIO PERMISO;SAUL EL JAGUAR;CORRIDO
3498;TRULY MADLY DEEPLY;SAVAGE GARDEN;BALADA INGLES
2750;WIND OF CHANGE;SCORPIONS;BALADA INGLES
3496;STILL LOVING YOU;SCORPIONS;BALADA INGLES
5557;BEAUTIFUL GIRLS;SEAN KINGSTON;POP
7373;DEVUELVEME EL CORAZON;SEBASTIAN YATRA;BALADA
586;COLLAR DE LAGRIMAS;SEGUNDO BAUTISTA;PASILLO
75;COMO VOY A OLVIDARTE;SEGUNDO ROSERO;ROCKOLERA
117;17 A�OS;SEGUNDO ROSERO;ROCKOLERA
174;EL TELEFONO;SEGUNDO ROSERO;ROCKOLERA
557;NADIE ES ETERNO;SEGUNDO ROSERO;ROCKOLERA
594;SIN TI NO PUEDO VIVIR;SEGUNDO ROSERO;ROCKOLERA
595;YA NADA VALE MI VIDA;SEGUNDO ROSERO;ROCKOLERA
736;DEBERIA ODIARTE;SEGUNDO ROSERO;ROCKOLERA
751;AMOR COMPLICADO;SEGUNDO ROSERO;ROCKOLERA
816;ESTOY PENSANDO EN TI;SEGUNDO ROSERO;ROCKOLERA
882;CANCION DEL ALMA;SEGUNDO ROSERO;ROCKOLERA
950;BODA Y LAGRIMAS;SEGUNDO ROSERO;BOLERO
1015;MELANCOLIA;SEGUNDO ROSERO;ROCKOLERA
1026;LA PRIMERA VEZ;SEGUNDO ROSERO;ROCKOLERA
1030;PALABRAS BONITAS;SEGUNDO ROSERO;ROCKOLERA
1041;AMOR MAGICO;SEGUNDO ROSERO;ROCKOLERA
1208;FALSA MUJER;SEGUNDO ROSERO;ROCKOLERA
1222;LA BOTELLA;SEGUNDO ROSERO;ROCKOLERA
1231;SABOR A MIEL;SEGUNDO ROSERO;BOMBA
1260;BOLERO ROCKOLERO;SEGUNDO ROSERO;ROCKOLERA
1287;CULEBRA VENENOSA;SEGUNDO ROSERO;ROCKOLERA
1458;AMOR DE CONTRABANDO;SEGUNDO ROSERO;BOLERO
1466;POR NUESTRO BIEN;SEGUNDO ROSERO;VALS
1489;ME PONGO A LLORAR;SEGUNDO ROSERO;ROCKOLERA
1815;CORAZON DE PAPEL;SEGUNDO ROSERO;PASILLO
1917;DOS MAS;SEGUNDO ROSERO;ROCKOLERA
1943;LOCURA;SEGUNDO ROSERO;ROCKOLERA
1956;NO SE LLORAR;SEGUNDO ROSERO;ROCKOLERA
1978;TINTA NEGRA;SEGUNDO ROSERO;ROCKOLERA
1984;TU EN MI VIDA;SEGUNDO ROSERO;ROCKOLERA
1988;VAGABUNDO BORRACHO Y LOCO;SEGUNDO ROSERO;ROCKOLERA
1990;VINE A DECIRTE ADIOS;SEGUNDO ROSERO;BACHATA
2092;EN VIDA;SEGUNDO ROSERO;ROCKOLERA
2102;20 ROSAS;SEGUNDO ROSERO;ROCKOLERA
2207;ANGEL PERDIDO;SEGUNDO ROSERO;SAMBA
2239;LOS DOS PERDIMOS;SEGUNDO ROSERO;ROCKOLA
2252;MI DULCE AMOR;SEGUNDO ROSERO;PASILLO
2262;NIEGAME;SEGUNDO ROSERO;PASILLO
2265;NO TRATES DE MENTIR;SEGUNDO ROSERO;ROCKOLERA
2267;OJOS NEGROS;SEGUNDO ROSERO;ROCKOLERA
2268;OTRA OPORTUNIDAD;SEGUNDO ROSERO;BOLERO
2269;PARA ADORARTE;SEGUNDO ROSERO;PASILLO
2272;PEREGRINO DEL DESTINO;SEGUNDO ROSERO;BOLERO
2291;TU PASADO;SEGUNDO ROSERO;BOLERO
2766;ESTOY SIN TI;SEGUNDO ROSERO;ROCKOLERA
3566;ESTOY DE TI ENAMORADO;SEGUNDO ROSERO;ROCKOLERA
4528;NI PERDON NI OLVIDO;SEGUNDO ROSERO;ROCKOLERA
5696;TE VI CON MIS PROPIOS OJOS;SEGUNDO ROSERO;ROCKOLERA
6332;ME QUIERO MORIR;SEGUNDO ROSERO;ROCKOLERA
355;QUIERO TENER TU PRESENCIA;SEGURIDAD SOCIAL;BALADA
41;SI UNA VEZ;SELENA;CUMBIA
211;COMO LA FLOR;SELENA;CUMBIA
263;AMOR PROHIBIDO;SELENA;CUMBIA
267;NO ME QUEDA MAS;SELENA;BOLERO
612;FOTOS Y RECUERDOS;SELENA;CUMBIA
613;EL CHICO DEL APARTAMENTO 5-12;SELENA;CUMBIA
899;DREAMIN OF YOU;SELENA;BALADA INGLES
1258;LA CARCACHA;SELENA;CUMBIA
1259;CIEN A�OS;SELENA;BOLERO
1331;LA LLAMADA;SELENA;CUMBIA
1392;BIDI BIDI BAM BAM;SELENA;CUMBIA
4250;YA NO;SELENA;TEXMEX
4299;TUS DESPRECIOS;SELENA;TEX MEX
5229;SIEMPRE HACE FRIO;SELENA;RANCHERA
5690;QUE CREIAS;SELENA;RANCHERA
5276;DONDE QUIERA QUE ESTES;SELENA & BARRIO BOYZZ;POP
4102;A YEAR WITHOUT RAIN;SELENA GOMEZ;POP
4124;NATURALLY;SELENA GOMEZ;POP
4393;UN A�O SIN VER LLOVER;SELENA GOMEZ;POP
4499;WHO SAYS;SELENA GOMEZ;POP
4825;LOVE YOU LIKE A LOVE SONG BABY;SELENA GOMEZ;POP
5045;SHAKE IT UP;SELENA GOMEZ;POP
5292;HIT THE LIGHTS;SELENA GOMEZ;POP
5369;COME GET IT;SELENA GOMEZ;POP
6769;MAGIC MUSIC;SELENA GOMEZ;POP
6607;CORAZONCITO;SENSUAL KARICIA;CUMBIA
6787;MI NUEVO PA�UELITO;SENSUAL KARICIA;CUMBIA
6993;YA NO SERE MAS TU PA�UELITO;SENSUAL KARICIA;CUMBIA
7242;TU PA�UELITO;SENSUAL KARICIA;CUMBIA
3904;CANTINERO DE CUBA;SERGIO & ESTIBALIZ;BALADA
6060;BUSCAME;SERGIO & ESTIBALIZ;BALADA
6383;PIEL;SERGIO & ESTIBALIZ;BALADA
6403;QUIEN COMPRA UNA CANCION;SERGIO & ESTIBALIZ;BALADA
3943;PROHIBIDO;SERGIO BACHELI;BALADA
73;SOLO PARA TI;SERGIO DALMA;BALADA
1042;BAILAR PEGADOS;SERGIO DALMA;BALADA
2447;ESA CHICA ES MIA;SERGIO DALMA;BALADA
3978;MIENTRAS TANTO;SERGIO DALMA;BALADA
5834;NO DESPERTARE;SERGIO DALMA;BALADA
6222;EL MUNDO;SERGIO DALMA;BALADA
6996;YO NO TE PIDO LA LUNA;SERGIO DALMA;BALADA
7276;YO NO TE PIDO LA LUNA;SERGIO DALMA;BALADA
5468;TE LLAMO PARA DESPEDIRME;SERGIO DENIS;BALADA
2596;UN POCO LOCO;SERGIO DENISS;BALADA
4568;GIGANTE CHIQUITO;SERGIO DENISSE;BALADA
4591;TE QUIERO TANTO;SERGIO DENISSE;BALADA
1449;ME ENAMORE SIN DARME CUENTA;SERGIO DENNIS;BALADA
6477;UN TIPO COMO YO;SERGIO ESQUIVEL;BALADA
3440;SIN TI;SERGIO FACHELI;BALADA
797;TE QUIERO CADA DIA MAS;SERGIO FACHELLI;BALADA
3665;EL UNICO QUE TE ENTIENDE;SERGIO FACHELLI;BALADA
3689;QUIEREME TAL COMO SOY;SERGIO FACHELLI;BALADA
4706;HAY AMORES;SERGIO FACHELLI;BALADA
5002;AMOR NO TE QUIERO PERDER;SERGIO FACHELLY;BALADA
2053;COMO CAMBIA LA VIDA;SERGIO RIVERO;BALADA
4410;DE CARA AL LODO;SERGIO SACOTO;BALADA
2773;LA VENTANITA;SERGIO VARGAS;MERENGUE
2787;SEPARADOS;SERGIO VARGAS;MERENGUE
381;QUINCE PRIMAVERAS;SERGIO Y ESTIBALIZ;BALADA
2629;LA MUJER QUE YO QUIERO;SERRAT;BALADA
3922;ME DUELE QUERERTE;SERVANDO & FLORENTINO;BALADA
5344;UNA FAN ENAMORADA;SERVANDO & FLORENTINO;SALSA
5353;ALIVIAME;SERVANDO & FLORENTINO;SALSA
1608;UNA FAN ENAMORADA;SERVANDO Y FIORENTINO;BALADA
5029;LA FALDA CORTITA;SEXTO SENTIDO;VALLENATO
4656;BOMBASTIC;SHAGGY;REGGAE
2850;VUELVETE LA LUNA;SHAILA DURCAL;BALADA
128;ESTOY AQUI;SHAKIRA;POP
196;CIEGA SORDOMUDA;SHAKIRA;POP
537;SUERTE;SHAKIRA;POP
673;TU;SHAKIRA;BALADA
786;TE AVISO TE ANUNCIO;SHAKIRA;POP
1043;INEVITABLE;SHAKIRA;POP
1198;UNDERMEATH YOUR CLOTHES;SHAKIRA;BALADA INGLES
1398;ANTOLOGIA;SHAKIRA;POP
1437;DONDE ESTAS CORAZON;SHAKIRA;POP
1491;QUE ME QUEDES TU;SHAKIRA;BALADA
1514;OJOS ASI;SHAKIRA;POP
1519;TE DEJO MADRID;SHAKIRA;POP
1546;NO;SHAKIRA;POP
1549;PIES DESCALZOS;SHAKIRA;POP
1617;SE QUIERE SE MATA;SHAKIRA;BALADA
1642;MOSCAS EN LA CASA;SHAKIRA;POP
1644;DONDE ESTAN LOS LADRONES;SHAKIRA;POP
2345;LA PARED;SHAKIRA;BALADA
2540;HIPS DON'T LIE ESPA�OL;SHAKIRA;REGGAETON
2872;LAS DE LA INTUICION;SHAKIRA;POP
3777;LA LOBA;SHAKIRA;POP
3972;LO HECHO ESTA HECHO;SHAKIRA;POP
4061;GITANA;SHAKIRA;POP
4098;WAKA WAKA;SHAKIRA;POP
4114;HAY AMORES;SHAKIRA;BOLERO
4169;LOCA;SHAKIRA;MERENGUE
4338;RABIOSA;SHAKIRA;MERENGUE
4339;SALE EL SOL;SHAKIRA;BALADA
4954;ADDICTED TO YOU;SHAKIRA;POP
5587;NUNCA ME ACUERDO DE OLVIDARTE;SHAKIRA;POP
5763;DARE (LA LA LA);SHAKIRA;POP
6835;OCTAVO D�A;SHAKIRA;POP
7291;BUSCANDO UN POCO DE AMOR;SHAKIRA;BALADA
7342;ME ENAMORE;SHAKIRA;POP
6145;BELLO EMBUSTERO;SHAKIRA & BEYONCE;POP
5658;CAN'T REMEMBER;SHAKIRA & RIHANNA;POP
1488;LA TORTURA;SHAKIRA Y ALEJANDRO SANZ;POP
7339;EL CHANTAJE;SHAKIRA Y MALUMA;REGUETON
5419;MAN I FEEL LIKE A WOMAN;SHANIA TWAIN;ROCK
5499;YOU'RE STILL THE ONE;SHANIA TWAIN;BALADA INGLES
302;NADIE COMO TU;SHARON;CUMBIA
6606;CORAZON HERIDO;SHARON LA HECHICERA;CUMBIA
6804;MOSAICOS DEL RECUERDO 1;SHARON LA HECHICERA;TECNOCUMBIA
7262;MOSAICOS DEL RECUERDO 1;SHARON LA HECHICERA;TECNOCUMBIA
7251;DOLENCIAS;SHARON Y FRANKLIN BAND;CUMBIA
5651;700 KILOMETROS;SHE;RAP
4593;TENGO TU LOVE;SIE7E;POP
563;SI SUPIERAS;SIGNOS DIFERENTES;ROCK LATINO
1817;IMAGINANDOTE;SILVANA;CUMBIA
2168;NOSTALGIAS DE AMOR;SILVANA;BALADA
2198;YA NO REGRESO A CASA;SILVANA;BALADA
2245;ME ENAMORE DE TI;SILVANA;BALADA
